Date,Close
2010-01-01,18407.5
2010-02-01,18444.5
2010-03-01,18500.0
2010-04-01,18648.0
2010-05-01,18592.5
2010-06-01,18537.0
2010-07-01,18574.0
2010-08-01,18685.0
2010-09-01,18555.5
2010-10-01,18537.0
2010-11-01,18666.5
2010-12-01,18611.0
2011-01-01,26268.0
2011-02-01,26320.8
2011-03-01,26400.0
2011-04-01,26611.2
2011-05-01,26532.0
2011-06-01,26452.8
2011-07-01,26505.6
2011-08-01,26664.0
2011-09-01,26479.2
2011-10-01,26452.8
2011-11-01,26637.6
2011-12-01,26558.4
2012-01-01,30894.75
2012-02-01,30956.85
2012-03-01,31050.0
2012-04-01,31298.4
2012-05-01,31205.25
2012-06-01,31112.1
2012-07-01,31174.2
2012-08-01,31360.5
2012-09-01,31143.15
2012-10-01,31112.1
2012-11-01,31329.45
2012-12-01,31236.3
2013-01-01,29452.0
2013-02-01,29511.2
2013-03-01,29600.0
2013-04-01,29836.8
2013-05-01,29748.0
2013-06-01,29659.2
2013-07-01,29718.4
2013-08-01,29896.0
2013-09-01,29688.8
2013-10-01,29659.2
2013-11-01,29866.4
2013-12-01,29777.6
2014-01-01,27865.97
2014-02-01,27921.98
2014-03-01,28006.0
2014-04-01,28230.05
2014-05-01,28146.03
2014-06-01,28062.01
2014-07-01,28118.02
2014-08-01,28286.06
2014-09-01,28090.02
2014-10-01,28062.01
2014-11-01,28258.05
2014-12-01,28174.04
2015-01-01,26211.28
2015-02-01,26263.97
2015-03-01,26343.0
2015-04-01,26553.74
2015-05-01,26474.71
2015-06-01,26395.69
2015-07-01,26448.37
2015-08-01,26606.43
2015-09-01,26422.03
2015-10-01,26395.69
2015-11-01,26580.09
2015-12-01,26501.06
2016-01-01,28479.88
2016-02-01,28537.13
2016-03-01,28623.0
2016-04-01,28851.98
2016-05-01,28766.11
2016-06-01,28680.25
2016-07-01,28737.49
2016-08-01,28909.23
2016-09-01,28708.87
2016-10-01,28680.25
2016-11-01,28880.61
2016-12-01,28794.74
2017-01-01,29518.67
2017-02-01,29578.0
2017-03-01,29667.0
2017-04-01,29904.34
2017-05-01,29815.33
2017-06-01,29726.33
2017-07-01,29785.67
2017-08-01,29963.67
2017-09-01,29756.0
2017-10-01,29726.33
2017-11-01,29934.0
2017-12-01,29845.0
2018-01-01,31280.81
2018-02-01,31343.69
2018-03-01,31438.0
2018-04-01,31689.5
2018-05-01,31595.19
2018-06-01,31500.88
2018-07-01,31563.75
2018-08-01,31752.38
2018-09-01,31532.31
2018-10-01,31500.88
2018-11-01,31720.94
2018-12-01,31626.63
2019-01-01,35043.9
2019-02-01,35114.34
2019-03-01,35220.0
2019-04-01,35501.76
2019-05-01,35396.1
2019-06-01,35290.44
2019-07-01,35360.88
2019-08-01,35572.2
2019-09-01,35325.66
2019-10-01,35290.44
2019-11-01,35536.98
2019-12-01,35431.32
2020-01-01,48407.75
2020-02-01,48505.05
2020-03-01,48651.0
2020-04-01,49040.21
2020-05-01,48894.25
2020-06-01,48748.3
2020-07-01,48845.6
2020-08-01,49137.51
2020-09-01,48796.95
2020-10-01,48748.3
2020-11-01,49088.86
2020-12-01,48942.91
2021-01-01,47526.18
2021-02-01,47621.71
2021-03-01,47765.0
2021-04-01,48147.12
2021-05-01,48003.82
2021-06-01,47860.53
2021-07-01,47956.06
2021-08-01,48242.65
2021-09-01,47908.29
2021-10-01,47860.53
2021-11-01,48194.88
2021-12-01,48051.59
2022-01-01,52406.65
2022-02-01,52511.99
2022-03-01,52670.0
2022-04-01,53091.36
2022-05-01,52933.35
2022-06-01,52775.34
2022-07-01,52880.68
2022-08-01,53196.7
2022-09-01,52828.01
2022-10-01,52775.34
2022-11-01,53144.03
2022-12-01,52986.02
2023-01-01,60173.62
2023-02-01,60294.57
2023-03-01,60476.0
2023-04-01,60959.81
2023-05-01,60778.38
2023-06-01,60596.95
2023-07-01,60717.9
2023-08-01,61080.76
2023-09-01,60657.43
2023-10-01,60596.95
2023-11-01,61020.28
2023-12-01,60838.86
2024-01-01,63800.0
2024-02-01,62900.0
2024-03-01,65100.0
2024-04-01,70200.0
2024-05-01,72500.0
2024-06-01,71800.0
2024-07-01,70900.0
2024-08-01,70200.0
2024-09-01,73800.0
2024-10-01,78500.0
2024-11-01,76200.0
2024-12-01,76800.0
2025-01-01,80210.0
2025-02-01,83500.0
2025-03-01,87400.0
2025-04-01,90300.0
2025-05-01,93100.0
2025-06-01,95800.0
2025-07-01,97200.0
2025-08-01,99500.0
2025-09-01,101800.0
2025-10-01,104200.0
2025-11-01,108500.0
2025-12-01,112000.0
2026-01-01,119500.0
2026-02-01,130000.0
2026-03-01,145000.0
2026-04-01,155570.0
